metric,value
num_seeds,5.0
gmm_wins,5.0
bgmm_wins,0.0
gmm_win_rate,1.0
bgmm_win_rate,0.0
mean_score_gap_gmm_minus_bgmm,1.0
std_score_gap_gmm_minus_bgmm,0.0
mean_gmm_backward_raw,0.9316902480194313
std_gmm_backward_raw,0.01394124340600559
mean_gmm_forward_realism_raw,0.14459471753532152
std_gmm_forward_realism_raw,0.003916443237490592
mean_gmm_composition_realism_raw,0.2197687962940936
std_gmm_composition_realism_raw,0.02838854702259479
mean_gmm_total_score,1.0
std_gmm_total_score,0.0
mean_bgmm_backward_raw,0.9540447563223836
std_bgmm_backward_raw,0.006038567564855639
mean_bgmm_forward_realism_raw,0.21762856922547608
std_bgmm_forward_realism_raw,0.010205369838037649
mean_bgmm_composition_realism_raw,0.2787557317155026
std_bgmm_composition_realism_raw,0.023109289354733928
mean_bgmm_total_score,0.0
std_bgmm_total_score,0.0
